backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gda,8,8,1,0,0,53.86,140.84,134.5,148.86,ep8/channels8_repeat1.log
rc_gda,8,8,1,1,0,53.87,140.81,130.62,151.1,ep8/channels8_repeat1.log
rc_gda,8,8,1,2,0,53.86,140.83,134.59,146.91,ep8/channels8_repeat1.log
rc_gda,8,8,1,3,0,53.85,140.87,130.46,150.98,ep8/channels8_repeat1.log
rc_gda,8,8,2,0,0,53.92,140.68,132.51,150.91,ep8/channels8_repeat2.log
rc_gda,8,8,2,1,0,53.84,140.89,130.27,153.15,ep8/channels8_repeat2.log
rc_gda,8,8,2,2,0,53.92,140.68,134.5,146.98,ep8/channels8_repeat2.log
rc_gda,8,8,2,3,0,53.93,140.66,130.46,148.9,ep8/channels8_repeat2.log
rc_gda,8,16,0,0,0,54.19,139.99,132.29,146.4,ep8/channels16_repeat0.log
rc_gda,8,16,0,1,0,53.93,140.66,130.69,148.8,ep8/channels16_repeat0.log
rc_gda,8,16,0,2,0,54.05,140.36,134.5,144.8,ep8/channels16_repeat0.log
rc_gda,8,16,0,3,0,54.02,140.44,132.54,147.14,ep8/channels16_repeat0.log
rc_gda,8,16,1,0,0,54.18,140.02,132.45,150.85,ep8/channels16_repeat1.log
rc_gda,8,16,1,1,0,54.0,140.49,132.99,149.44,ep8/channels16_repeat1.log
rc_gda,8,16,1,2,0,54.18,140.0,132.32,145.73,ep8/channels16_repeat1.log
rc_gda,8,16,1,3,0,54.22,139.91,134.59,146.85,ep8/channels16_repeat1.log
rc_gda,8,16,2,0,0,54.1,140.21,132.19,148.26,ep8/channels16_repeat2.log
rc_gda,8,16,2,1,0,53.93,140.65,130.37,151.17,ep8/channels16_repeat2.log
rc_gda,8,16,2,2,0,53.97,140.56,130.46,150.98,ep8/channels16_repeat2.log
rc_gda,8,16,2,3,0,53.93,140.65,132.51,146.85,ep8/channels16_repeat2.log
rc_gda,8,32,0,0,0,53.9,140.74,134.5,146.85,ep8/channels32_repeat0.log
rc_gda,8,32,0,1,0,53.71,141.23,130.94,149.44,ep8/channels32_repeat0.log
rc_gda,8,32,0,2,0,53.93,140.67,134.53,148.9,ep8/channels32_repeat0.log
rc_gda,8,32,0,3,0,53.98,140.52,130.46,149.12,ep8/channels32_repeat0.log
rc_gda,8,32,1,0,0,53.85,140.86,132.42,151.17,ep8/channels32_repeat1.log
rc_gda,8,32,1,1,0,54.01,140.45,129.98,150.43,ep8/channels32_repeat1.log
rc_gda,8,32,1,2,0,53.89,140.75,134.53,146.85,ep8/channels32_repeat1.log
rc_gda,8,32,1,3,0,53.92,140.67,132.45,148.86,ep8/channels32_repeat1.log
rc_gda,8,32,2,0,0,53.81,140.98,132.99,151.42,ep8/channels32_repeat2.log
rc_gda,8,32,2,1,0,53.96,140.59,130.3,151.14,ep8/channels32_repeat2.log
rc_gda,8,32,2,2,0,54.0,140.47,132.8,146.78,ep8/channels32_repeat2.log
rc_gda,8,32,2,3,0,53.96,140.58,132.32,147.07,ep8/channels32_repeat2.log
rc_gda,16,1,0,0,0,39.39,192.58,181.95,206.08,ep16/channels1_repeat0.log
rc_gda,16,1,0,1,0,39.42,192.43,181.92,200.35,ep16/channels1_repeat0.log
rc_gda,16,1,0,2,0,39.45,192.27,175.71,206.08,ep16/channels1_repeat0.log
rc_gda,16,1,0,3,0,39.54,191.85,176.96,205.95,ep16/channels1_repeat0.log
rc_gda,16,1,1,0,0,39.55,191.8,181.38,205.98,ep16/channels1_repeat1.log
rc_gda,16,1,1,1,0,39.37,192.68,180.1,202.66,ep16/channels1_repeat1.log
rc_gda,16,1,1,2,0,39.53,191.92,177.44,206.4,ep16/channels1_repeat1.log
rc_gda,16,1,1,3,0,39.53,191.89,175.58,206.3,ep16/channels1_repeat1.log
rc_gda,16,1,2,0,0,39.52,191.97,181.63,204.48,ep16/channels1_repeat2.log
rc_gda,16,1,2,1,0,39.42,192.42,182.11,204.64,ep16/channels1_repeat2.log
rc_gda,16,1,2,2,0,39.46,192.24,173.41,207.23,ep16/channels1_repeat2.log
rc_gda,16,1,2,3,0,39.51,192.02,177.82,204.19,ep16/channels1_repeat2.log
rc_gda,16,2,0,0,0,49.46,153.38,139.1,166.78,ep16/channels2_repeat0.log
rc_gda,16,2,0,1,0,49.71,152.59,136.0,172.7,ep16/channels2_repeat0.log
rc_gda,16,2,0,2,0,49.53,153.17,134.53,171.42,ep16/channels2_repeat0.log
rc_gda,16,2,0,3,0,49.57,153.04,133.82,169.41,ep16/channels2_repeat0.log
rc_gda,16,2,1,0,0,49.03,154.73,142.59,167.52,ep16/channels2_repeat1.log
rc_gda,16,2,1,1,0,49.07,154.6,135.07,176.19,ep16/channels2_repeat1.log
rc_gda,16,2,1,2,0,48.91,155.09,137.06,172.93,ep16/channels2_repeat1.log
rc_gda,16,2,1,3,0,49.19,154.21,135.71,169.25,ep16/channels2_repeat1.log
rc_gda,16,2,2,0,0,49.86,152.13,140.9,165.15,ep16/channels2_repeat2.log
